Frame	Time
steel	115.75
steel	115.666667
steel	108.733333
steel	117.733333
steel	112.616667
steel	109.566667
steel	113.066667
steel	103.966667
steel	112.866667
steel	104.75
steel	105.466667
steel	111.033333
steel	111.316667
steel	105.416667
steel	110.2
steel	108.7
steel	101.716667
steel	97.6666667
steel	108.25
steel	103.25
steel	111.933333
steel	102.433333
steel	100.6
steel	106.466667
steel	101.583333
steel	110.483333
steel	105.95
steel	106.833333
steel	105.6
steel	104.65
carbon	115.583333
carbon	113.933333
carbon	119.2
carbon	123.333333
carbon	112.5
carbon	117.683333
carbon	108.633333
carbon	110.883333
carbon	105.866667
carbon	112.583333
carbon	112.433333
carbon	109.583333
carbon	102.6
carbon	103.816667
carbon	102.75
carbon	101.85
carbon	107.233333
carbon	100.083333
carbon	100.683333
carbon	101.583333
carbon	105.05
carbon	102.9
carbon	101.8666667
carbon	110.6
carbon	105.5166667
carbon	108.1833333
