speed height
45	56
67	195
66	127
50	128
73	170
70	200
70	200
65	157
55	90
50	105
65	110
37	32
48	100
40	78
66	122
50	70
41	94
63	154
52	92
50	55
62	125
55	95
50	84
25	37
46	70
58	70
66	192
66	192
50	102
50	102
80	209
45	56
60	125
55	125
55	100
55	100
50	161
60	125
50	95
54	107
56	118
55	70
85	235
68	173
57	105
58	90
55	115
50	110
50	108
55	102
80	165
67	110
50	161
55	100
45	40
35	65
53	71
65	149
60	143
60	130
72	205
75	205
67	203
60	145
65	161
65	150
61	142
93	310
60	150
47	80
80	230
82	160
45	78
73	202
56	120
57	137
65	180
48	80
55	70
65	156
37	32
63	150
50	90
62	110
45	56
55	83
78	218
55	70
65	150
75	200
68	185
77	208
73	208
73	200
50	115
60	115
100	415
50	75
58	135
63	163
65	143
55	70
45	80
53	100
85	245
50	102
120	420
60	100
52	102
50	161
44	97
27	43
70	188
50	100
50	121
70	155
55	148
42	70
72	215
53	98
74	207
50	90
48	85
60	75
66	120
76	175
60	90
40	70
62	115
