missClass  GPA
1	4
0	3.08
0	3.7
4	3.38
0	3.55
1	3.8
0	3.41
2	2.67
0	3.92
0	3.8
0	3.77
0	3.6
1	3.72
0	4
0	3.6
1	3.52
0	3.68
0	3.89
0	3.85
1	3.5
5	3.66
4	2.8
0	3.96
0	3.6
0	3.87
1	3.4
3	3.4
1	3.97
0	3.26
0	3.35
0	3
0	3.74
0	3.95
1	4
0	3.93
0	3.91
0	3.15
0	3.63
1	3.69
0	3.96
0	4
1	3.9
4	3.67
1	3.06
1	3.5
4	2.54
1	3.4
3	2.7
0	3.4
1	2.69
0	2.8
0	3.6
6	2.5
1	3.45
2	3.15
2	3.4
5	2.6
1	3
3	3.4
0	3.6
3	3
0	3.8
0	3.69
0	3.98
0	2.9
1	3
1	3.36
1	3.42
0	3.98
1	3.79
1	3.1
0	3.7
1	3.5
1	3.1
2	2.5
2	3.04
0	3.54
2	2.83
1	3.02
1	3.27
0	2.84
0	3.89
0	3.12
0	3.98
2	2.84
2	2.84
2	3.52
1	3.58
0	3.92
2	3.75
3	2.6
0	3.64
6	3.2
1	3.8
1	2.59
